model,split,horizon,n_rows,accuracy,balanced_accuracy,macro_f1,cohen_kappa,roc_auc_ovr,log_loss,brier_score,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2,confusion_matrix
logistic_regression,val,overall,2492,0.7279293739967897,0.7324853891977302,0.7256511499030202,0.5928232144191214,0.898478967704936,0.5754893704217025,0.35547015496912515,0.7137055837563452,0.888748419721871,0.7916666666666666,0.6563342318059299,0.5649651972157773,0.6072319201995012,0.8156862745098039,0.7437425506555423,0.7780548628428927,"[[703, 74, 14], [248, 487, 127], [34, 181, 624]]"
logistic_regression,val,0-12 months,616,0.7597402597402597,0.7715427528511641,0.7630497783591309,0.6394398281992162,0.9189283245135159,0.5047023279805665,0.31820430947573103,0.7450980392156863,0.8888888888888888,0.8106666666666666,0.7081339712918661,0.6406926406926406,0.6727272727272727,0.8275862068965517,0.7850467289719626,0.8057553956834532,"[[152, 19, 0], [48, 148, 35], [4, 42, 168]]"
logistic_regression,val,12-24 months,794,0.7304785894206549,0.7335029456315697,0.727936807277889,0.5963041190208623,0.9006672442910096,0.5613435130022687,0.35121985100820186,0.7491749174917491,0.8937007874015748,0.8150807899461401,0.6311475409836066,0.5724907063197026,0.6003898635477583,0.805668016194332,0.7343173431734318,0.7683397683397684,"[[227, 26, 1], [68, 154, 47], [8, 64, 199]]"
logistic_regression,val,24-36 months,521,0.7312859884836852,0.7328739604147954,0.7282165673175612,0.5972702275914618,0.895794318686686,0.5908869766669781,0.3617172555455389,0.7209302325581395,0.9064327485380117,0.8031088082901554,0.6415094339622641,0.5795454545454546,0.608955223880597,0.8435374149659864,0.7126436781609196,0.7725856697819314,"[[155, 16, 0], [51, 102, 23], [9, 41, 124]]"
logistic_regression,val,>36 months,561,0.6862745098039216,0.6839307048984469,0.6758918460545674,0.5276151108049145,0.8739273663258612,0.658937634380671,0.39660342193631304,0.6425855513307985,0.8666666666666667,0.7379912663755459,0.6384615384615384,0.44623655913978494,0.5253164556962026,0.7916666666666666,0.7388888888888889,0.764367816091954,"[[169, 13, 13], [81, 83, 22], [13, 34, 133]]"
logistic_regression,test,overall,5148,0.7264957264957265,0.754671978011287,0.7248796741691548,0.5867973704192689,0.8950649244923158,0.6139265742781135,0.37709516511256347,0.7144796380090498,0.9250146455770357,0.8062292570845034,0.8069620253164557,0.5500431406384815,0.6541816316059518,0.6524300441826215,0.7889581478183437,0.7142281338170092,"[[1579, 117, 11], [582, 1275, 461], [49, 188, 886]]"
logistic_regression,test,0-12 months,1207,0.7580778790389395,0.7868838059654268,0.7602131191285393,0.6346147865085602,0.9117494334724751,0.5572989836066211,0.34173647351053393,0.7505376344086021,0.920844327176781,0.8270142180094787,0.8242574257425742,0.6076642335766423,0.6995798319327731,0.6893491124260355,0.8321428571428572,0.7540453074433657,"[[349, 29, 1], [111, 333, 104], [5, 42, 233]]"
logistic_regression,test,12-24 months,1623,0.7325939617991374,0.760725809047123,0.7355299824315473,0.5981357678575707,0.8989591402142266,0.5981983717000503,0.3681939366781791,0.7054380664652568,0.913894324853229,0.7962489343563512,0.7913385826771654,0.5622377622377622,0.6573998364677024,0.7064017660044151,0.8060453400503779,0.7529411764705882,"[[467, 43, 1], [181, 402, 132], [14, 63, 320]]"
logistic_regression,test,24-36 months,1088,0.7205882352941176,0.7534060846560847,0.717087784266249,0.5777087759437818,0.8973488795379848,0.6125864509224886,0.3779938046934499,0.6959183673469388,0.9472222222222222,0.8023529411764706,0.8322981366459627,0.5317460317460317,0.648910411622276,0.6340579710144928,0.78125,0.7,"[[341, 18, 1], [136, 268, 100], [13, 36, 175]]"
logistic_regression,test,>36 months,1230,0.6926829268292682,0.7095910637789934,0.6754199756793197,0.5287695446515537,0.8677092384468925,0.6914342400794207,0.42274306320089755,0.7116357504215851,0.9234135667396062,0.8038095238095239,0.7861271676300579,0.49364791288566245,0.6064659977703456,0.5429553264604811,0.7117117117117117,0.6159844054580896,"[[422, 27, 8], [154, 272, 125], [17, 47, 158]]"
random_forest,val,overall,2492,0.7279293739967897,0.7289249888226949,0.7322462115395766,0.5911785650250907,0.8852838219843658,0.6236760466476651,0.37628004036249335,0.8010403120936281,0.7787610619469026,0.7897435897435897,0.6145526057030481,0.7250580046403712,0.6652474720596062,0.8116147308781869,0.6829558998808105,0.7417475728155339,"[[616, 149, 26], [130, 625, 107], [23, 243, 573]]"
random_forest,val,0-12 months,616,0.7694805194805194,0.7709533912190084,0.7746621349860217,0.6505662638569859,0.9133888651412003,0.5425336990661215,0.3255457166080447,0.8143712574850299,0.7953216374269005,0.8047337278106509,0.6818181818181818,0.7792207792207793,0.7272727272727273,0.8540540540540541,0.7383177570093458,0.7919799498746867,"[[136, 32, 3], [27, 180, 24], [4, 52, 158]]"
random_forest,val,12-24 months,794,0.7355163727959698,0.7365477508359372,0.7406659234119762,0.6028751893452228,0.8900226073987242,0.6125092555720892,0.3690675314686538,0.8577586206896551,0.7834645669291339,0.8189300411522634,0.6072507552870091,0.7472118959107806,0.67,0.7965367965367965,0.6789667896678967,0.7330677290836654,"[[199, 48, 7], [28, 201, 40], [5, 82, 184]]"
random_forest,val,24-36 months,521,0.7293666026871402,0.7295203242344802,0.7339611797570299,0.5937341002101537,0.8777611714896887,0.6506396450435282,0.38606287633290676,0.8343949044585988,0.7660818713450293,0.7987804878048781,0.5981735159817352,0.7443181818181818,0.6632911392405063,0.8137931034482758,0.6781609195402298,0.7398119122257053,"[[131, 35, 5], [23, 131, 22], [3, 53, 118]]"
random_forest,val,>36 months,561,0.6702317290552585,0.6681784762429924,0.6705518655949625,0.5041991515707407,0.8487323793262006,0.7035371579845517,0.4331110884085958,0.704225352112676,0.7692307692307693,0.7352941176470589,0.5566502463054187,0.6075268817204301,0.5809768637532133,0.7793103448275862,0.6277777777777778,0.6953846153846154,"[[150, 34, 11], [52, 113, 21], [11, 56, 113]]"
random_forest,test,overall,5148,0.7511655011655012,0.7564750296318564,0.7513089219084451,0.613636535405613,0.9036969388302163,0.5737136546524727,0.3447999400522317,0.7812675266404936,0.8160515524311658,0.7982808022922636,0.7473684210526316,0.7044866264020707,0.7252942482789252,0.7127118644067797,0.748886910062333,0.7303517151541468,"[[1393, 299, 15], [361, 1633, 324], [29, 253, 841]]"
random_forest,test,0-12 months,1207,0.7895608947804474,0.7967404801799001,0.7926775817670967,0.6735753833049404,0.9247477546124117,0.5342125363750916,0.3062109718770137,0.8172323759791122,0.8258575197889182,0.821522309711286,0.780718336483932,0.7536496350364964,0.7669452181987001,0.7694915254237288,0.8107142857142857,0.7895652173913044,"[[313, 65, 1], [68, 413, 67], [2, 51, 227]]"
random_forest,test,12-24 months,1623,0.7399876771410967,0.7480605267086066,0.744055221902248,0.6001520214651506,0.9014694440076642,0.5663353561535178,0.34860966774491686,0.777992277992278,0.7886497064579256,0.783284742468416,0.7226277372262774,0.6923076923076923,0.7071428571428572,0.7214285714285714,0.7632241813602015,0.7417380660954712,"[[403, 104, 4], [107, 495, 113], [8, 86, 303]]"
random_forest,test,24-36 months,1088,0.7454044117647058,0.7521825396825396,0.7427542663301071,0.6032270975080571,0.9016502850527358,0.5797008240391205,0.3521446945976307,0.7734375,0.825,0.7983870967741935,0.759825327510917,0.6904761904761905,0.7234927234927235,0.6747967479674797,0.7410714285714286,0.7063829787234043,"[[297, 58, 5], [81, 348, 75], [6, 52, 166]]"
random_forest,test,>36 months,1230,0.7333333333333333,0.7229578420986921,0.7206848355826824,0.5771215461100403,0.8840336220661861,0.616915921263798,0.37114352021228547,0.7630522088353414,0.8315098468271335,0.7958115183246073,0.7348927875243665,0.6842105263157895,0.7086466165413534,0.6621004566210046,0.6531531531531531,0.6575963718820862,"[[380, 72, 5], [105, 377, 69], [13, 64, 145]]"
