accuracy,balanced_accuracy,macro_f1,cohen_kappa,roc_auc_ovr,log_loss,brier_score,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2,confusion_matrix,model,seed,task_mode,missing_indicators,n_features,n_train_subjects,n_val_subjects,n_test_subjects,n_train_visits,n_val_visits,n_test_visits,train_macro_f1,val_macro_f1
0.8533184606804238,0.8407156611347589,0.8486193251327961,0.7656154397105626,0.9498952505833821,0.4394188848975529,0.23815551964216014,0.9173076923076923,0.8768382352941176,0.8966165413533834,0.8250825082508251,0.8782201405152225,0.8508224617129893,0.8324175824175825,0.7670886075949367,0.7984189723320159,"[[477, 67, 0], [43, 750, 61], [0, 92, 303]]",hist_gradient_boosting,44,all_visits,False,69,1211,173,346,6215,896,1793,0.9979029946938686,0.8653591392064183
0.8014500836586727,0.8163525215024793,0.8025722426765304,0.6919148821153593,0.9408445638808773,0.4774257107495372,0.2776262090223253,0.7885532591414944,0.9117647058823529,0.8456947996589941,0.8358008075370121,0.7271662763466042,0.7777082028804008,0.7600950118764845,0.810126582278481,0.7843137254901961,"[[496, 48, 0], [132, 621, 101], [1, 74, 320]]",logistic_regression,44,all_visits,True,69,1211,173,346,6215,896,1793,0.8530145974355333,0.8345668669701403
0.8427216954824317,0.8351138271245415,0.8386055575439352,0.7501661438180418,0.9449027175601272,0.461072107169127,0.2621058807708992,0.9120458891013384,0.8768382352941176,0.8940955951265229,0.8242630385487528,0.8512880562060889,0.8375576036866359,0.7912371134020618,0.7772151898734178,0.7841634738186463,"[[477, 67, 0], [46, 727, 81], [0, 88, 307]]",random_forest,44,all_visits,True,69,1211,173,346,6215,896,1793,0.9996828569168699,0.8598310620998331
0.8499721137757947,0.8342742611674261,0.8440604411484088,0.75963374716933,0.9498130132409984,0.4426519540627789,0.23754671471672018,0.9058380414312618,0.8841911764705882,0.8948837209302326,0.8189749182115594,0.8793911007025761,0.8481084133258047,0.8463768115942029,0.739240506329114,0.7891891891891892,"[[481, 63, 0], [50, 751, 53], [0, 103, 292]]",hist_gradient_boosting,44,all_visits,True,69,1211,173,346,6215,896,1793,0.9980502268961656,0.8622612542980757
0.8120728929384966,0.8187743122945793,0.811729665177941,0.7105240021100756,0.9368139386828104,0.4590583215610343,0.27500752166129244,0.828393135725429,0.9202772963604853,0.8719211822660099,0.817923186344239,0.7400257400257401,0.777027027027027,0.7766990291262136,0.7960199004975125,0.7862407862407862,"[[531, 46, 0], [110, 575, 92], [0, 82, 320]]",logistic_regression,45,all_visits,False,69,1211,173,346,6272,876,1756,0.8570980589080904,0.8281300847121792
0.8587699316628702,0.8514703559971156,0.8557644458052852,0.7794856785800006,0.9512458985375262,0.427613033800703,0.2423234388611818,0.9315315315315316,0.8960138648180243,0.9134275618374559,0.8245398773006135,0.8648648648648649,0.8442211055276382,0.8264248704663213,0.7935323383084577,0.8096446700507615,"[[517, 60, 0], [38, 672, 67], [0, 83, 319]]",random_forest,45,all_visits,False,69,1211,173,346,6272,876,1756,0.9990774552984315,0.8550833076923207
0.8513667425968109,0.8395472312671414,0.8477216967716101,0.7667779898623464,0.9507012735801591,0.44040412396381257,0.23409333497989168,0.9192100538599641,0.8873483535528596,0.9029982363315696,0.8071428571428572,0.8725868725868726,0.8385899814471243,0.8495821727019499,0.7587064676616916,0.8015768725361366,"[[512, 65, 0], [45, 678, 54], [0, 97, 305]]",hist_gradient_boosting,45,all_visits,False,69,1211,173,346,6272,876,1756,0.9976251233037309,0.8445121696020577
0.7989749430523918,0.805019177403357,0.7982166277359218,0.6903097262454448,0.9337746000439461,0.48406141835251687,0.28488725615151367,0.8191823899371069,0.902946273830156,0.8590272052761748,0.8045325779036827,0.731016731016731,0.7660148347943359,0.7584541062801933,0.7810945273631841,0.7696078431372549,"[[521, 50, 6], [115, 568, 94], [0, 88, 314]]",logistic_regression,45,all_visits,True,69,1211,173,346,6272,876,1756,0.8562517278087608,0.8400778488993378
0.8570615034168565,0.8502861410334445,0.8542100582803407,0.7769198298995735,0.9507985248567671,0.45267969080787424,0.25672654790507704,0.9329710144927537,0.8925476603119584,0.912311780336581,0.8230958230958231,0.8622908622908623,0.8422375864236329,0.8205128205128205,0.7960199004975125,0.8080808080808081,"[[515, 62, 0], [37, 670, 70], [0, 82, 320]]",random_forest,45,all_visits,True,69,1211,173,346,6272,876,1756,0.9995386860279449,0.8442389924724784
0.8536446469248291,0.8424637938851963,0.8504894887893517,0.7704194485085394,0.9519076669243661,0.43868876580896854,0.23410640832911567,0.9175627240143369,0.8873483535528596,0.9022026431718062,0.8102625298329356,0.8738738738738738,0.8408668730650155,0.8555555555555555,0.7661691542288557,0.8083989501312336,"[[512, 65, 0], [46, 679, 52], [0, 94, 308]]",hist_gradient_boosting,45,all_visits,True,69,1211,173,346,6272,876,1756,0.9976477575913792,0.8394026960064696
0.7965909090909091,0.8179884801572527,0.8000425809274182,0.6868031633834881,0.9373236434651749,0.5101366850420593,0.28711109184428124,0.7832278481012658,0.8886894075403949,0.832632464255677,0.8376811594202899,0.7040194884287454,0.7650562541363336,0.7511415525114156,0.8612565445026178,0.802439024390244,"[[495, 61, 1], [135, 578, 108], [2, 51, 329]]",logistic_regression,46,all_visits,False,69,1211,173,346,6311,833,1760,0.8474015989010474,0.8342847356900526
0.8460227272727273,0.8433968665736771,0.8434845261508129,0.7573895572115262,0.9478403905635998,0.43350508196594045,0.2497768032433712,0.9405940594059405,0.8527827648114902,0.8945386064030132,0.8260355029585799,0.8501827040194885,0.8379351740696278,0.7707317073170732,0.8272251308900523,0.797979797979798,"[[475, 81, 1], [30, 698, 93], [0, 66, 316]]",random_forest,46,all_visits,False,69,1211,173,346,6311,833,1760,0.9992067768369184,0.8574101077315225
0.8505681818181818,0.8423638940893832,0.8474538207791348,0.763071188692853,0.9480520695906859,0.45610222231414677,0.240542040259724,0.9173076923076923,0.8563734290843806,0.8857938718662952,0.8235294117647058,0.8696711327649208,0.8459715639810427,0.8203753351206434,0.8010471204188482,0.8105960264900662,"[[477, 77, 3], [43, 714, 64], [0, 76, 306]]",hist_gradient_boosting,46,all_visits,False,69,1211,173,346,6311,833,1760,0.9966794254394972,0.8576120103213699
0.7982954545454546,0.818162610197143,0.8017781319406243,0.6888294349026993,0.9355147917029017,0.518996630941674,0.29020745465405545,0.7884615384615384,0.8833034111310593,0.8331922099915327,0.8333333333333334,0.7125456760048721,0.768220617202889,0.7557603686635944,0.8586387434554974,0.803921568627451,"[[492, 64, 1], [131, 585, 105], [1, 53, 328]]",logistic_regression,46,all_visits,True,69,1211,173,346,6311,833,1760,0.8543453539424868,0.8240760830552891
