class,feature,importance
AD,ST102TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.008586762075134202
AD,ST102TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.014400715563506306
AD,ST103CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.004541006067723637
AD,ST103SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0005565493937587096
AD,ST103TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.018887895050685777
AD,ST103TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.007990459153249882
AD,ST104CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.003967052098831969
AD,ST104SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0
AD,ST104TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.005128205128205147
AD,ST104TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.018968023255814
AD,ST105CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.024880029531192394
AD,ST105SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.007597544642042024
AD,ST105TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.005769230769230786
AD,ST105TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.00863148479427552
AD,ST106CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0
AD,ST106SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0
AD,ST106TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.00863148479427552
AD,ST106TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.013118664281455028
AD,ST107CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.01436034088650373
AD,ST107SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0005565493937587096
AD,ST107TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.012526913290272113
AD,ST107TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0034188034188034435
AD,ST108CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0
AD,ST108SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.004541006067723637
AD,ST108TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.007403260092768371
AD,ST108TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.007995011083951287
AD,ST109CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0102609621871117
AD,ST109SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.005132757058906552
AD,ST109TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0022705030338618184
AD,ST109TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.004541006067723637
AD,ST10CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0
AD,ST110CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.009669211195928784
AD,ST110SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.008586762075134202
AD,ST110TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.008030212681375493
AD,ST110TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.009669211195928784
AD,ST111CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.002862254025044734
AD,ST111SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,-0.002818555490311181
AD,ST111TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.00863148479427552
AD,ST111TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.002862254025044734
AD,ST112SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.007990459153249882
AD,ST113CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0
AD,ST113SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0
AD,ST113TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.00863148479427552
AD,ST113TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.008030212681375493
AD,ST114CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.007995011083951287
AD,ST114SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.002862254025044734
