model,seed,task_mode,missing_indicators,class_id,bin,n,mean_predicted,observed_rate
random_forest,43,baseline_only,False,2,2,19,0.2431578947368421,0.2105263157894736
random_forest,43,baseline_only,False,2,3,14,0.335,0.1428571428571428
random_forest,43,baseline_only,False,2,4,12,0.4520833333333334,0.5833333333333334
random_forest,43,baseline_only,False,2,5,9,0.5216666666666667,0.6666666666666666
random_forest,43,baseline_only,False,2,6,9,0.6372222222222221,0.8888888888888888
random_forest,43,baseline_only,False,2,7,12,0.7462499999999999,0.8333333333333334
random_forest,43,baseline_only,False,2,8,15,0.8636666666666666,0.9333333333333332
random_forest,43,baseline_only,False,2,9,15,0.9183333333333332,1.0
hist_gradient_boosting,43,baseline_only,False,0,0,243,0.0011474512449132,0.0205761316872428
hist_gradient_boosting,43,baseline_only,False,0,1,1,0.1120127635951376,0.0
hist_gradient_boosting,43,baseline_only,False,0,2,1,0.2571727021621967,1.0
hist_gradient_boosting,43,baseline_only,False,0,5,1,0.5462155963910171,1.0
hist_gradient_boosting,43,baseline_only,False,0,7,1,0.746286009961192,0.0
hist_gradient_boosting,43,baseline_only,False,0,8,1,0.8824442480203355,0.0
hist_gradient_boosting,43,baseline_only,False,0,9,98,0.999991125538862,1.0
hist_gradient_boosting,43,baseline_only,False,1,0,151,0.0019277471052065,0.0066225165562913
hist_gradient_boosting,43,baseline_only,False,1,1,5,0.1385097821737758,0.4
hist_gradient_boosting,43,baseline_only,False,1,2,4,0.2448709251536311,0.5
hist_gradient_boosting,43,baseline_only,False,1,4,6,0.4305723841731552,0.5
hist_gradient_boosting,43,baseline_only,False,1,7,1,0.7426627388502628,0.0
hist_gradient_boosting,43,baseline_only,False,1,8,1,0.8879671099219525,1.0
hist_gradient_boosting,43,baseline_only,False,1,9,178,0.9966693200291366,0.9213483146067416
hist_gradient_boosting,43,baseline_only,False,2,0,281,0.0011313180581168,0.0320284697508896
hist_gradient_boosting,43,baseline_only,False,2,5,5,0.5740150401153631,0.4
hist_gradient_boosting,43,baseline_only,False,2,7,3,0.7573932049083952,0.6666666666666666
hist_gradient_boosting,43,baseline_only,False,2,8,4,0.8562148069734976,0.75
hist_gradient_boosting,43,baseline_only,False,2,9,53,0.994501278559506,0.981132075471698
logistic_regression,43,baseline_only,True,0,0,202,0.0053685794395444,0.0049504950495049
logistic_regression,43,baseline_only,True,0,1,6,0.1256427895988517,0.0
logistic_regression,43,baseline_only,True,0,2,8,0.2359148090582205,0.0
logistic_regression,43,baseline_only,True,0,3,9,0.3579760577615534,0.1111111111111111
logistic_regression,43,baseline_only,True,0,4,5,0.4504642842114837,0.2
logistic_regression,43,baseline_only,True,0,5,9,0.5578391618001782,0.3333333333333333
logistic_regression,43,baseline_only,True,0,6,3,0.6876687016131852,0.6666666666666666
logistic_regression,43,baseline_only,True,0,7,6,0.7622983200641738,0.6666666666666666
logistic_regression,43,baseline_only,True,0,8,10,0.8710014872083564,0.8
logistic_regression,43,baseline_only,True,0,9,88,0.969153692160615,0.9659090909090908
logistic_regression,43,baseline_only,True,1,0,137,0.0240095339713574,0.0291970802919708
logistic_regression,43,baseline_only,True,1,1,16,0.1332899747359915,0.3125
logistic_regression,43,baseline_only,True,1,2,14,0.2439897349971174,0.4285714285714285
logistic_regression,43,baseline_only,True,1,3,3,0.3120301339031648,0.3333333333333333
logistic_regression,43,baseline_only,True,1,4,15,0.4536890887955905,0.6666666666666666
logistic_regression,43,baseline_only,True,1,5,11,0.5406626231090743,0.7272727272727273
logistic_regression,43,baseline_only,True,1,6,12,0.6375243386795825,0.8333333333333334
logistic_regression,43,baseline_only,True,1,7,19,0.759712172282468,0.9473684210526316
logistic_regression,43,baseline_only,True,1,8,12,0.8698049645207776,1.0
logistic_regression,43,baseline_only,True,1,9,107,0.9724101711918528,0.9252336448598132
logistic_regression,43,baseline_only,True,2,0,250,0.0080785135594694,0.028
logistic_regression,43,baseline_only,True,2,1,7,0.1381704255456171,0.0
logistic_regression,43,baseline_only,True,2,2,11,0.2366766082049937,0.0909090909090909
logistic_regression,43,baseline_only,True,2,3,4,0.361963708348765,0.5
logistic_regression,43,baseline_only,True,2,4,5,0.4605312462177602,0.2
logistic_regression,43,baseline_only,True,2,5,6,0.5279305675017162,0.3333333333333333
logistic_regression,43,baseline_only,True,2,6,1,0.6920272437140033,0.0
logistic_regression,43,baseline_only,True,2,7,7,0.7545531651463762,0.5714285714285714
logistic_regression,43,baseline_only,True,2,8,6,0.8592691121650963,0.5
logistic_regression,43,baseline_only,True,2,9,49,0.9880125730709948,0.979591836734694
random_forest,43,baseline_only,True,0,0,127,0.0356692913385826,0.0
random_forest,43,baseline_only,True,0,1,42,0.1402380952380952,0.0
random_forest,43,baseline_only,True,0,2,45,0.2391111111111111,0.0666666666666666
