accuracy,balanced_accuracy,macro_f1,cohen_kappa,roc_auc_ovr,log_loss,brier_score,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2,confusion_matrix,model,seed,task_mode,missing_indicators,n_features,n_train_subjects,n_val_subjects,n_test_subjects,n_train_visits,n_val_visits,n_test_visits,train_macro_f1,val_macro_f1,group,modalities
0.9161849710982659,0.9120666763815352,0.9131517426608801,0.8643522461505184,0.9856220000412046,0.2051394170086202,0.11887836891979986,0.9504950495049505,0.9142857142857143,0.9320388349514563,0.9090909090909091,0.9248554913294798,0.9169054441260746,0.8840579710144928,0.8970588235294118,0.8905109489051095,"[[96, 9, 0], [5, 160, 8], [0, 7, 61]]",logistic_regression,42,baseline_only,True,19,1211,173,346,1211,173,346,0.9218839078589159,0.8596564278807269,all_without_mri_structural,demographic|cognitive|pet|genetic
0.8959537572254336,0.8968518428566031,0.8931321330397363,0.832769453842436,0.976921101492343,0.25863174302130076,0.15633449901439186,0.9065420560747663,0.9238095238095239,0.9150943396226415,0.9053254437869822,0.884393063583815,0.8947368421052632,0.8571428571428571,0.8823529411764706,0.8695652173913043,"[[97, 8, 0], [10, 153, 10], [0, 8, 60]]",logistic_regression,42,baseline_only,True,67,1211,173,346,1211,173,346,0.9389269865986044,0.8515934675757095,all_without_pet,demographic|cognitive|mri_structural|genetic
0.8930635838150289,0.894925060583,0.8899664311045492,0.8283661129657188,0.9757108305829855,0.2655178629677864,0.1607223076039532,0.9065420560747663,0.9238095238095239,0.9150943396226415,0.9047619047619048,0.8786127167630058,0.8914956011730205,0.8450704225352113,0.8823529411764706,0.8633093525179856,"[[97, 8, 0], [10, 152, 11], [0, 8, 60]]",logistic_regression,42,baseline_only,True,68,1211,173,346,1211,173,346,0.9403852667100359,0.8590553405655922,all_without_genetic,demographic|cognitive|mri_structural|pet
0.42485549132947975,0.4678991056923733,0.4246222821434686,0.15811997163328684,0.6166592041292613,1.0639577587262767,0.6447464224729739,0.4198473282442748,0.5238095238095238,0.4661016949152542,0.5824175824175825,0.3063583815028902,0.4015151515151515,0.31451612903225806,0.5735294117647058,0.40625,"[[55, 26, 24], [59, 53, 61], [17, 12, 39]]",logistic_regression,43,baseline_only,True,6,1211,173,346,1211,173,346,0.3996978017319166,0.3806469863207452,demographic_only,demographic
0.8815028901734104,0.8850110371701666,0.8792573668195559,0.8104717497895764,0.9819374296354564,0.24185521859588707,0.1471252573337214,0.8547008547008547,0.9523809523809523,0.9009009009009009,0.9074074074074074,0.8497109826589595,0.8776119402985074,0.8656716417910447,0.8529411764705882,0.8592592592592593,"[[100, 5, 0], [17, 147, 9], [0, 10, 58]]",logistic_regression,43,baseline_only,True,10,1211,173,346,1211,173,346,0.9104806761352293,0.9199239643684088,cognitive_only,cognitive
0.43352601156069365,0.48980316596773593,0.4442631041222689,0.15335830212234713,0.6535890897052562,1.009728330417474,0.6303100746742044,0.417910447761194,0.5333333333333333,0.4686192468619247,0.4716981132075472,0.28901734104046245,0.35842293906810035,0.41509433962264153,0.6470588235294118,0.5057471264367817,"[[56, 38, 11], [72, 50, 51], [6, 18, 44]]",logistic_regression,43,baseline_only,True,50,1211,173,346,1211,173,346,0.4821053506148221,0.47434550389633134,mri_structural_only,mri_structural
0.407514450867052,0.4975113744919933,0.4089881869542886,0.16283077213606223,0.6837099013657651,0.9524280885038033,0.6095003579203356,0.4351145038167939,0.5428571428571428,0.4830508474576271,0.5079365079365079,0.18497109826589594,0.2711864406779661,0.34210526315789475,0.7647058823529411,0.4727272727272727,"[[57, 19, 29], [70, 32, 71], [4, 12, 52]]",logistic_regression,43,baseline_only,True,2,1211,173,346,1211,173,346,0.4447097779446587,0.45910274361986164,pet_only,pet
0.36416184971098264,0.4742763772175536,0.3159593368050783,0.1438051853101625,0.6313452503866234,1.0437097360495307,0.6352759860425052,0.42783505154639173,0.7904761904761904,0.5551839464882943,0.0,0.0,0.0,0.2847682119205298,0.6323529411764706,0.3926940639269406,"[[83, 1, 21], [86, 0, 87], [25, 0, 43]]",logistic_regression,43,baseline_only,True,1,1211,173,346,1211,173,346,0.3056435948812682,0.2834955393349554,genetic_only,genetic
0.8901734104046243,0.8937665625016865,0.8864694727778094,0.8244405276932116,0.9816665249723556,0.2433735182927305,0.14697735431436254,0.8849557522123894,0.9523809523809523,0.9174311926605505,0.9141104294478528,0.861271676300578,0.8869047619047619,0.8428571428571429,0.8676470588235294,0.855072463768116,"[[100, 5, 0], [13, 149, 11], [0, 9, 59]]",logistic_regression,43,baseline_only,True,16,1211,173,346,1211,173,346,0.9204273619221496,0.9199239643684088,demographic_cognitive,demographic|cognitive
0.8901734104046243,0.8903118472822654,0.8841375944317121,0.8242668876473576,0.9702909184567458,0.29744246761944854,0.16922380785988414,0.8869565217391304,0.9714285714285714,0.9272727272727272,0.9141104294478528,0.861271676300578,0.8869047619047619,0.8382352941176471,0.8382352941176471,0.8382352941176471,"[[102, 3, 0], [13, 149, 11], [0, 11, 57]]",logistic_regression,43,baseline_only,True,66,1211,173,346,1211,173,346,0.9381951405043586,0.9274813413801493,clinical_mri,demographic|cognitive|mri_structural
