accuracy,balanced_accuracy,macro_f1,cohen_kappa,roc_auc_ovr,log_loss,brier_score,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2,confusion_matrix,model,seed,task_mode,missing_indicators,n_features,n_train_subjects,n_val_subjects,n_test_subjects,n_train_visits,n_val_visits,n_test_visits,train_macro_f1,val_macro_f1,masked_modality,absolute_drop,relative_drop
0.8988439306358381,0.8995469093224958,0.893418488267859,0.8379391100702576,0.9762513439178173,0.2649586242527101,0.1521731877296685,0.9174311926605505,0.9523809523809523,0.9345794392523364,0.9156626506024096,0.8786127167630058,0.8967551622418879,0.8309859154929577,0.8676470588235294,0.8489208633093526,"[[100, 5, 0], [9, 152, 12], [0, 9, 59]]",logistic_regression,44,baseline_only,True,69,,,,,,,,,pet_amyloid,-0.002537394438960172,-0.002848185303893653
0.9161849710982659,0.905157245942693,0.9101768927249189,0.8639439178836323,0.9800540080897749,0.24289209181631438,0.13561615151024664,0.9345794392523364,0.9523809523809523,0.9433962264150944,0.9090909090909091,0.9248554913294798,0.9169054441260746,0.9047619047619048,0.8382352941176471,0.8702290076335878,"[[100, 5, 0], [7, 160, 6], [0, 11, 57]]",logistic_regression,44,baseline_only,True,69,,,,,,,,,all_pet,-0.019295798896020067,-0.021659230428933075
0.8554913294797688,0.8768842797234501,0.8569455983261024,0.7735246373775986,0.9752205048591204,0.35820393083071234,0.21503881380026846,0.7777777777777778,1.0,0.875,0.9361702127659575,0.7630057803468208,0.8407643312101911,0.8428571428571429,0.8676470588235294,0.855072463768116,"[[105, 0, 0], [30, 132, 11], [0, 9, 59]]",logistic_regression,44,baseline_only,True,69,,,,,,,,,genetic,0.0339354955027964,0.038092059353224975
0.8728323699421965,0.8809580479590681,0.8683623670020871,0.7979535229399196,0.9718701844130034,0.31019822543049463,0.18123816187049313,0.8839285714285714,0.9428571428571428,0.9124423963133641,0.9056603773584906,0.8323699421965318,0.8674698795180723,0.7866666666666666,0.8676470588235294,0.8251748251748252,"[[99, 6, 0], [13, 144, 16], [0, 9, 59]]",logistic_regression,45,baseline_only,True,69,1211.0,173.0,346.0,1211.0,173.0,346.0,0.9437734352874539,0.8683700601534815,none,0.0,0.0
0.36416184971098264,0.379632777966678,0.2813547404195476,0.0549147660256013,0.5556050617020069,3.546503241969945,0.9362965385673034,0.0,0.0,0.0,0.5369127516778524,0.4624277456647399,0.4968944099378882,0.233502538071066,0.6764705882352942,0.3471698113207547,"[[0, 47, 58], [0, 80, 93], [0, 22, 46]]",logistic_regression,45,baseline_only,True,69,,,,,,,,,cognitive,0.5870076265825395,0.6759938579663581
0.7398843930635838,0.8253417744747225,0.7403272805227595,0.6228380407925973,0.9639344967300918,0.7399367535640814,0.3949154417723826,0.8188976377952756,0.9904761904761905,0.896551724137931,0.9882352941176471,0.48554913294797686,0.6511627906976745,0.5074626865671642,1.0,0.6732673267326733,"[[104, 1, 0], [23, 84, 66], [0, 0, 68]]",logistic_regression,45,baseline_only,True,69,,,,,,,,,mri_structural,0.1280350864793276,0.14744430590808855
0.8786127167630058,0.8848116125062742,0.8739680263885375,0.8066936256251995,0.9714043238566478,0.3018069723960357,0.17434333123723952,0.8918918918918919,0.9428571428571428,0.9166666666666666,0.906832298136646,0.8439306358381503,0.874251497005988,0.7972972972972973,0.8676470588235294,0.8309859154929577,"[[99, 6, 0], [12, 146, 15], [0, 9, 59]]",logistic_regression,45,baseline_only,True,69,,,,,,,,,pet_fdg,-0.005605659386450412,-0.006455437959389296
0.8786127167630058,0.8890346119179849,0.8744972662403856,0.8075792484309208,0.9716058819778787,0.3131458455486936,0.1834226619728286,0.8849557522123894,0.9523809523809523,0.9174311926605505,0.9171974522292994,0.8323699421965318,0.8727272727272727,0.7894736842105263,0.8823529411764706,0.8333333333333334,"[[100, 5, 0], [13, 144, 16], [0, 8, 60]]",logistic_regression,45,baseline_only,True,69,,,,,,,,,pet_amyloid,-0.0061348992382984635,-0.007064906853896074
0.8757225433526011,0.881637009331671,0.8714185378381595,0.8019119135112105,0.971045526342016,0.3043258404358153,0.1766434713185319,0.8909090909090909,0.9333333333333333,0.9116279069767442,0.9012345679012346,0.8439306358381503,0.8716417910447761,0.7972972972972973,0.8676470588235294,0.8309859154929577,"[[98, 7, 0], [12, 146, 15], [0, 9, 59]]",logistic_regression,45,baseline_only,True,69,,,,,,,,,all_pet,-0.003056170836072347,-0.003519464859610851
0.8323699421965318,0.8521577802604664,0.8305005570065811,0.7365124798130326,0.9545051539945888,0.4604546505435641,0.25942091849221915,0.9777777777777777,0.8380952380952381,0.9025641025641026,0.8616352201257862,0.791907514450867,0.8253012048192772,0.6494845360824743,0.9264705882352942,0.7636363636363637,"[[88, 17, 0], [2, 137, 34], [0, 5, 63]]",logistic_regression,45,baseline_only,True,69,,,,,,,,,genetic,0.037861809995506035,0.04360139434210998
